Nome;idade;posicao;altura
Moneeb JOSEPHS;30;G;184
Siboniso GAXA;26;D;178
Tsepo MASILELA;25;D;174
Aaron MOKOENA;29;D;183
Anele NGCONGCA;22;D;177
MacBeth SIBAYA;32;M;176
Lance DAVIDS;25;M;171
Siphiwe TSHABALALA;25;M;170
Katlego MPHELA;25;A;180
Steven PIENAAR;28;M;173
Teko MODISE;27;M;172
Reneilwe LETSHOLONYANE;28;M;173
Kagisho DIKGACOI;25;M;180
Matthew BOOTH;33;D;198
Lucas THWALA;28;D;170
Itumeleng KHUNE;22;G;180
Bernard PARKER;24;A;172
Siyabonga NOMVETHE;32;A;173
Surprise MORIRI;30;M;173
Bongani KHUMALO;23;D;184
Siyabonga SANGWENI;28;D;182
Shu-Aib WALTERS;28;G;188
Thanduyise KHUBONI;24;M;181
